Date,Open,High,Low,Close,Adj Close,Volume
2021-11-01,1.964962,2.015316,1.917960,1.950002,1.950002,2649338831
2021-11-02,1.949818,1.996540,1.934827,1.971377,1.971377,2459979881
2021-11-03,1.971404,2.144626,1.950845,2.063701,2.063701,4722705987
2021-11-04,2.064559,2.100966,1.956403,1.984882,1.984882,3301214469
2021-11-05,1.984745,2.018975,1.963668,1.986206,1.986206,2274851985
2021-11-06,1.985306,2.039940,1.946815,2.006609,2.006609,1883049324
2021-11-07,2.006963,2.036167,1.978159,2.021872,2.021872,1871914235
2021-11-08,2.021946,2.138435,2.011635,2.124419,2.124419,3157370460
2021-11-09,2.126183,2.375914,2.107469,2.273483,2.273483,7356647142
2021-11-10,2.268922,2.359522,1.944602,2.101802,2.101802,6436473948
2021-11-11,2.101769,2.152531,2.063564,2.085524,2.085524,3597674965
2021-11-12,2.082225,2.102994,1.994117,2.045766,2.045766,2818140241
2021-11-13,2.046191,2.079476,2.023658,2.053104,2.053104,2022529448
2021-11-14,2.052102,2.070042,2.012070,2.040853,2.040853,1527465250
2021-11-15,2.041248,2.094682,2.014811,2.015587,2.015587,1411134707
2021-11-16,2.021147,2.021147,1.786474,1.877235,1.877235,3400794601
2021-11-17,1.877808,1.893318,1.805297,1.875540,1.875540,2869765024
2021-11-18,1.876270,1.908513,1.710864,1.788331,1.788331,2511854943
2021-11-19,1.787225,1.894425,1.756623,1.864793,1.864793,1897885322
2021-11-20,1.864640,1.955915,1.860625,1.921736,1.921736,1632660169
2021-11-21,1.922869,1.922869,1.836332,1.839763,1.839763,1252654509
2021-11-22,1.838291,1.839811,1.759830,1.776555,1.776555,1581033619
2021-11-23,1.778283,1.817630,1.745127,1.750503,1.750503,1765447419
2021-11-24,1.751246,1.752388,1.594203,1.686423,1.686423,1983587289
2021-11-25,1.667261,1.748867,1.620885,1.651345,1.651345,3072612884
2021-11-26,1.676388,1.685440,1.502046,1.528420,1.528420,3011271612
2021-11-27,1.531957,1.585799,1.531957,1.546118,1.546118,1560548721
2021-11-28,1.546672,1.598509,1.433618,1.592855,1.592855,2236244253
2021-11-29,1.594501,1.636148,1.559918,1.602508,1.602508,1801591216
2021-11-30,1.602102,1.628403,1.549843,1.554903,1.554903,1814169292
2021-12-01,1.552819,1.622388,1.534562,1.547713,1.547713,1666236481
2021-12-02,1.547706,1.756863,1.521645,1.715366,1.715366,3716108059
2021-12-03,1.720719,1.728509,1.532564,1.556555,1.556555,2675040145
2021-12-04,1.558386,1.558615,1.205124,1.420706,1.420706,4076290725
2021-12-05,1.420609,1.436573,1.290549,1.378105,1.378105,3034823821
2021-12-06,1.379189,1.438994,1.257868,1.425393,1.425393,2642050277
2021-12-07,1.423189,1.477548,1.370552,1.381941,1.381941,2210387832
2021-12-08,1.380939,1.423688,1.343517,1.397074,1.397074,1764297116
2021-12-09,1.393739,1.407885,1.290440,1.290440,1.290440,1670588001
2021-12-10,1.291753,1.331853,1.210024,1.211689,1.211689,1721213997
2021-12-11,1.213407,1.362157,1.195143,1.354248,1.354248,1693932686
2021-12-12,1.352221,1.411960,1.321837,1.347282,1.347282,1473164555
2021-12-13,1.347895,1.357773,1.202574,1.225348,1.225348,1448791702
2021-12-14,1.224460,1.269876,1.201422,1.222835,1.222835,1596202685
2021-12-15,1.266263,1.329269,1.207161,1.311847,1.311847,1634066534
2021-12-16,1.311818,1.331010,1.236784,1.240534,1.240534,1293311594
2021-12-17,1.240744,1.258695,1.187881,1.219892,1.219892,1376131289
2021-12-18,1.220517,1.267222,1.201947,1.242534,1.242534,1057989368
2021-12-19,1.242394,1.309385,1.241757,1.244661,1.244661,1220196479
2021-12-20,1.243437,1.260699,1.202716,1.238240,1.238240,1365306484
2021-12-21,1.236419,1.289425,1.229115,1.280859,1.280859,1149078005
2021-12-22,1.280337,1.366798,1.278285,1.328041,1.328041,1528804985
2021-12-23,1.328843,1.489489,1.311121,1.474691,1.474691,2068524292
2021-12-24,1.473877,1.490347,1.383480,1.392367,1.392367,1337799712
2021-12-25,1.394186,1.460733,1.385219,1.453495,1.453495,1005403101
2021-12-26,1.453510,1.468327,1.410834,1.456045,1.456045,1111799397
2021-12-27,1.455838,1.590728,1.452088,1.512913,1.512913,1891237484
2021-12-28,1.515092,1.537979,1.381352,1.402264,1.402264,2111991275
2021-12-29,1.401962,1.436113,1.328470,1.330814,1.330814,1516774796
2021-12-30,1.332747,1.376474,1.300004,1.360415,1.360415,1292798472
2021-12-31,1.360470,1.379202,1.287365,1.310209,1.310209,1271633462
2022-01-01,1.310130,1.376975,1.309787,1.376975,1.376975,851279685
2022-01-02,1.377017,1.388755,1.346515,1.377584,1.377584,881893010
2022-01-03,1.377599,1.377599,1.315800,1.321637,1.321637,956659954
2022-01-04,1.321508,1.349682,1.299482,1.311658,1.311658,1014646349
2022-01-05,1.311944,1.350875,1.202679,1.236002,1.236002,1416139355
2022-01-06,1.235209,1.294576,1.193416,1.279782,1.279782,1559075484
2022-01-07,1.279917,1.282408,1.193237,1.211547,1.211547,1751707653
2022-01-08,1.211468,1.252670,1.138116,1.187512,1.187512,1499054949
2022-01-09,1.187693,1.204036,1.153479,1.173860,1.173860,1088569809
2022-01-10,1.173786,1.178859,1.080153,1.128052,1.128052,1481621292
2022-01-11,1.127857,1.193615,1.125648,1.185110,1.185110,1089929557
2022-01-12,1.185551,1.306346,1.185551,1.304535,1.304535,1651269250
2022-01-13,1.304656,1.350995,1.233161,1.233161,1.233161,2022506483
2022-01-14,1.233370,1.306503,1.227105,1.290926,1.290926,1855980787
2022-01-15,1.291089,1.315587,1.257258,1.296263,1.296263,967735764
2022-01-16,1.295933,1.420641,1.291159,1.407251,1.407251,2436680646
2022-01-17,1.408210,1.594131,1.390763,1.594131,1.594131,5285117130
2022-01-18,1.596480,1.631298,1.418237,1.465541,1.465541,4287066351
2022-01-19,1.464946,1.531111,1.331478,1.341757,1.341757,3304139176
2022-01-20,1.341654,1.423338,1.257876,1.258055,1.258055,1686210420
2022-01-21,1.258803,1.279778,1.109166,1.123233,1.123233,3009627794
2022-01-22,1.123079,1.152195,0.933397,1.066716,1.066716,3930474859
2022-01-23,1.067661,1.164873,1.056932,1.122371,1.122371,2362627205
2022-01-24,1.122782,1.124338,0.959124,1.066598,1.066598,3237316963
2022-01-25,1.066519,1.072024,0.998212,1.043574,1.043574,1766326155
2022-01-26,1.043620,1.149648,1.026486,1.079047,1.079047,2437592239
2022-01-27,1.078735,1.078735,1.009166,1.043533,1.043533,1519972359
2022-01-28,1.043234,1.058343,1.014096,1.050606,1.050606,1206550586
2022-01-29,1.050492,1.080614,1.041647,1.059570,1.059570,913122499
2022-01-30,1.059748,1.075346,1.028418,1.037473,1.037473,748084610
2022-01-31,1.037615,1.057604,1.012046,1.052303,1.052303,925666321
2022-02-01,1.052236,1.092317,1.037886,1.088624,1.088624,1130552843
2022-02-02,1.090309,1.100240,1.027750,1.028906,1.028906,1086043481
2022-02-03,1.028688,1.057225,1.019261,1.056444,1.056444,873675008
2022-02-04,1.056243,1.135624,1.047297,1.135624,1.135624,1178757518
2022-02-05,1.136061,1.172885,1.102618,1.127345,1.127345,1363912644
2022-02-06,1.127235,1.147803,1.103168,1.144547,1.144547,911521818
2022-02-07,1.144356,1.206854,1.128264,1.197307,1.197307,2107219347
2022-02-08,1.197650,1.257816,1.135913,1.178720,1.178720,2267265855
2022-02-09,1.177958,1.212157,1.154750,1.194810,1.194810,1239455609
2022-02-10,1.194636,1.218667,1.149182,1.152478,1.152478,1810255178
2022-02-11,1.152571,1.162573,1.072568,1.080347,1.080347,1395763170
2022-02-12,1.080511,1.091407,1.034717,1.058199,1.058199,1401190670
2022-02-13,1.058008,1.070944,1.035629,1.045819,1.045819,1066206015
2022-02-14,1.045469,1.052781,1.021529,1.050267,1.050267,1261583495
2022-02-15,1.050218,1.113366,1.050018,1.107586,1.107586,1370174980
2022-02-16,1.107631,1.110541,1.069289,1.084981,1.084981,1028924852
2022-02-17,1.084318,1.091512,1.012222,1.019895,1.019895,1093325576
2022-02-18,1.020223,1.041311,0.989473,0.997113,0.997113,1288743412
2022-02-19,0.997005,1.017854,0.977514,0.997703,0.997703,1104597763
2022-02-20,0.997629,0.997629,0.923295,0.932902,0.932902,1429017666
2022-02-21,0.932452,0.986247,0.857714,0.858236,0.858236,2072270994
2022-02-22,0.858130,0.893756,0.819990,0.889017,0.889017,2058499639
2022-02-23,0.888989,0.955431,0.869169,0.869169,0.869169,1824386011
2022-02-24,0.868515,0.882342,0.752810,0.853425,0.853425,3629367685
2022-02-25,0.853572,0.906541,0.829244,0.898027,0.898027,1652894219
2022-02-26,0.897996,0.928296,0.885401,0.887918,0.887918,1099934921
2022-02-27,0.887788,0.912676,0.840146,0.858335,0.858335,1278510571
2022-02-28,0.857870,0.967613,0.845040,0.959828,0.959828,1779202386
2022-03-01,0.959886,1.005403,0.944935,0.962346,0.962346,1778795527
2022-03-02,0.962425,0.973629,0.929062,0.938662,0.938662,1262681262
2022-03-03,0.938722,0.944079,0.886073,0.902659,0.902659,986233549
2022-03-04,0.902793,0.903050,0.830861,0.842889,0.842889,1115108721
2022-03-05,0.843175,0.880940,0.824839,0.865672,0.865672,734896311
2022-03-06,0.865688,0.870498,0.823004,0.823752,0.823752,670024869
2022-03-07,0.823738,0.845476,0.783291,0.797379,0.797379,1040234323
2022-03-08,0.797174,0.819148,0.790318,0.801250,0.801250,955952004
2022-03-09,0.801485,0.861431,0.801007,0.849293,0.849293,980869497
2022-03-10,0.849355,0.850576,0.791222,0.806316,0.806316,903650101
2022-03-11,0.806302,0.817147,0.785930,0.790125,0.790125,792395101
2022-03-12,0.790073,0.800801,0.789565,0.790674,0.790674,493606091
2022-03-13,0.790567,0.819025,0.783251,0.790995,0.790995,772035954
2022-03-14,0.790412,0.812075,0.781908,0.803917,0.803917,924771999
2022-03-15,0.803841,0.815622,0.785917,0.800006,0.800006,832137304
2022-03-16,0.800024,0.838632,0.795396,0.838374,0.838374,1233395707
2022-03-17,0.838362,0.855880,0.829930,0.836784,0.836784,909733920
2022-03-18,0.836657,0.858880,0.822879,0.853433,0.853433,792706852
2022-03-19,0.853274,0.912921,0.851972,0.901099,0.901099,1103521076
2022-03-20,0.901322,0.914603,0.865669,0.877092,0.877092,949951339
2022-03-21,0.877201,0.927599,0.865919,0.916782,0.916782,1233477886
2022-03-22,0.916888,0.985033,0.909592,0.976440,0.976440,1699537576
2022-03-23,0.976162,1.107482,0.959068,1.107482,1.107482,3447683427
2022-03-24,1.107204,1.185751,1.085422,1.130011,1.130011,3671006856
2022-03-25,1.130228,1.163815,1.075631,1.097888,1.097888,2232929187
2022-03-26,1.098015,1.157231,1.082272,1.150594,1.150594,1407171432
2022-03-27,1.151006,1.183395,1.108125,1.182148,1.182148,1322194562
2022-03-28,1.182334,1.242865,1.162468,1.170184,1.170184,2304056098
2022-03-29,1.169285,1.239358,1.169033,1.191112,1.191112,1761798381
2022-03-30,1.190980,1.216669,1.167608,1.190385,1.190385,1424442312
2022-03-31,1.190299,1.226320,1.137162,1.141851,1.141851,1745903089
2022-04-01,1.141952,1.172973,1.107619,1.165425,1.165425,1687785845
2022-04-02,1.165444,1.193844,1.151050,1.156007,1.156007,1224117012
2022-04-03,1.155909,1.198543,1.146687,1.185941,1.185941,976725814
2022-04-04,1.185800,1.240358,1.165493,1.212945,1.212945,2447778820
2022-04-05,1.213029,1.217393,1.167548,1.170801,1.170801,1188106135
2022-04-06,1.170792,1.171607,1.052379,1.052771,1.052771,1710318316
2022-04-07,1.053129,1.098469,1.045138,1.091894,1.091894,1139697598
2022-04-08,1.091632,1.097432,1.021370,1.026326,1.026326,926095649
2022-04-09,1.025912,1.045075,1.023790,1.045015,1.045015,640896639
2022-04-10,1.045012,1.068030,1.028757,1.030885,1.030885,626332866
2022-04-11,1.030671,1.030671,0.920116,0.920450,0.920450,1398303911
2022-04-12,0.920599,0.980855,0.920599,0.955145,0.955145,1076130201
2022-04-13,0.955122,0.978153,0.937400,0.974696,0.974696,791702878
2022-04-14,0.974569,0.983624,0.925471,0.932412,0.932412,812010499
2022-04-15,0.932529,0.957988,0.932474,0.954717,0.954717,574655010
2022-04-16,0.954704,0.961081,0.939852,0.952640,0.952640,468473785
2022-04-17,0.952531,0.961512,0.915346,0.917466,0.917466,528371933
2022-04-18,0.917509,0.937368,0.877736,0.936730,0.936730,1105222191
2022-04-19,0.936762,0.954662,0.928201,0.953333,0.953333,777142382
2022-04-20,0.953325,0.974735,0.932510,0.937341,0.937341,828312845
2022-04-21,0.937272,0.969453,0.896912,0.910474,0.910474,871111347
2022-04-22,0.910335,0.923741,0.893973,0.907154,0.907154,725788912
2022-04-23,0.907185,0.910614,0.884660,0.888503,0.888503,447997661
2022-04-24,0.888279,0.897855,0.881857,0.886350,0.886350,487629549
2022-04-25,0.886378,0.901707,0.830232,0.898695,0.898695,1139869029
2022-04-26,0.898577,0.901137,0.821011,0.827645,0.827645,1020049782
2022-04-27,0.827541,0.853942,0.822590,0.840595,0.840595,927312593
2022-04-28,0.840615,0.852062,0.827689,0.843950,0.843950,836357358
2022-04-29,0.843930,0.848700,0.793686,0.805043,0.805043,874797260
2022-04-30,0.805056,0.817048,0.742359,0.756660,0.756660,868001173
2022-05-01,0.756701,0.799425,0.749655,0.790344,0.790344,928448231
2022-05-02,0.790279,0.795818,0.766198,0.781529,0.781529,805325174
2022-05-03,0.781430,0.798589,0.762068,0.771145,0.771145,649650331
2022-05-04,0.771107,0.897661,0.769638,0.896942,0.896942,1516023155
2022-05-05,0.897061,0.904111,0.778141,0.791152,0.791152,1802128590
2022-05-06,0.791065,0.798315,0.765742,0.783359,0.783359,1312283636
2022-05-07,0.783352,0.785116,0.750657,0.761882,0.761882,801558914
2022-05-08,0.762053,0.763869,0.729272,0.739563,0.739563,1085127147
2022-05-09,0.740314,0.752649,0.707772,0.708259,0.708259,1279358592
